SECURITY_ID,UNDERLYING_SYMBOL
1313,HARRMALAYA
13139,EBBETF0433
13143,GSEC10IETF
13147,PVRINOX
1315,GALAXYSURF
13162,CELEBRITY
13175,NITINSPIN
13182,ROHLTD
13192,ENIL
13198,COMMOIETF
13211,JAGRAN
13218,SULA
13260,KEC
1327,HCL-INSYS
13270,JKCEMENT
13275,INDOTECH
13276,LANDMARK
1328,MARINE
13285,M&MFIN
13288,AFSL
13290,BLKASHYAP
13300,NITCO
13305,CENTURYPLY
13310,KEI
1333,HDFCBANK
13332,SOLARINDS
13337,GALLANTT
13342,VAKRANGEE
13352,MALUPAPER
13359,KFINTECH
1336,HEG
13367,SGL
13376,UTTAMSUGAR
1338,SDBL
13381,KKCL
13400,BHAGERIA
13404,SUNTV
13409,GPIL
13414,RSYSTEMS
13421,EMKAY
13423,ELIN
13430,KELLTONTEC
13441,BALPHARMA
13451,RATNAMANI
13457,KAMDHENU
13463,PIONEEREMB
1348,HEROMOTOCO
13491,JKLAKSHMI
13501,ALLCARGO
13510,AKASH
13511,MUNJALAU
13517,EMAMILTD
13522,NECCLTD
13528,GMRAIRPORT
13536,VIDHIING
13538,TECHM
13557,AVONMORE
13560,GRINDWELL
13565,RAMANEWS
13572,MANUGRAPH
13577,VOLTAMP
13580,RADIANTCMS
13585,ATLANTAA
13587,ACE
13592,HGM
13598,ANTELOPUS
136,ANDHRSUGAR
1360,HIMATSEIDE
13611,IRCTC
13620,ANANTRAJ
1363,HINDALCO
13631,SKYGOLD
13637,JMFINANCIL
13643,ELECON
13644,BANKADD
13648,TALBROAUTO
13656,ALICON
13658,GEECEE
13675,NRL
13689,AERONEU
13693,INFOMEDIA
13710,FIEMIND
1372,HINDCOMPOS
13725,DCBBANK
13735,GLOBALVECT
13745,GTLINFRA
1375,HCC
13750,FLUOROCHEM
13751,NAUKRI
13753,MANOMAY
13761,BBL
13771,VGL
13776,GESHIP
13786,TORNTPOWER
13794,BAIDFIN
13796,MANALIPETC
13801,SUTLEJTEX
13810,GREENPANEL
13816,LTFOODS
13821,RUCHIRA
13826,SOBHA
13839,DONEAR
13844,MMFL
13859,VENUSREM
13868,AARTIPHARM
13870,KUANTUM
13875,JINDRILL
13880,BANCOINDIA
13885,ARIHANT
13890,HIRECT
13900,CREST
13920,PLASTIBLEN
13925,NFL
1394,HINDUNILVR
13941,PRAENG
13950,LIQUID1
13951,PARACABLES
13966,HBLENGINE
13976,TANLA
13982,JASH
13987,ABSLBANETF
14008,AVTNPL
14014,LUMAXTECH
14019,VEEDOL
1403,HINDOILEXP
14043,SARLAPOLY
14058,SANGHVIMOV
1406,HINDPETRO
14064,ASMS
14068,SAGCEM
14086,IGPL
14096,SIYSIL
14101,PTL
14106,AUTOIND
14111,NETWORK18
14116,GANDHITUBE
1412,AGI
14134,PITTIENG
14139,SBGLP
1415,GLOBAL
14150,BTML
14154,UNOMINDA
14180,NSLNISP
14198,TIMKEN
14203,HUBTOWN
14223,TIIL
14230,HDFCBSE500
14233,HDFCSML250
14236,HDFCMID150
1424,HINDZINC
14245,TVSSRICHAK
14255,REDINGTON
14260,PGIL
14278,ORIENTBELL
14286,GOLDETF
14296,VIYASH
14299,PFC
14304,FSL
14305,OSWALSEEDS
14309,INDIANB
14319,TFL
14329,SMSPHARMA
14334,HSCL
14339,GANESHHOU
14346,ORIENTALTL
14361,APOLLOPIPE
14366,IDEA
14385,POCL
14398,AMDIND
144,GODREJAGRO
14403,RAJTV
14413,PAGEIND
14418,ASTRAL
1442,SANOFI
14423,LAOPALA
14428,GOLDBEES
14435,JKTYRE
14445,NAHARPOLY
14450,EMBDL
14466,KIRLFER
14479,DIVGIITTS
1448,HLVLTD
14480,GOKULAGRO
14485,THEMISMED
14490,NCLIND
14501,BALAMINES
14511,BANSWRAS
14518,ABSLLIQUID
14523,ICRA
14535,GOLDBETA
14547,NDLVENTURE
1455,BIRLANU
14552,PHOENIXLTD
14557,AROGRANITE
14562,ZENITHSTL
14567,BFUTILITIE
14582,SRHHYPOLTD
14584,PSUBNKIETF
14592,FORTIS
14597,ALPHAGEO
14599,GSLSU
14602,WEBELSOLAR
14607,TGBHOTELS
14627,HILTON
14657,INSECTICID
14667,KMSUGAR
1467,JSWDULUX
14672,NAVINFLUOR
14677,GUJAPOLLO
14687,GOACARBON
14702,NAGREEKEXP
14707,TIMETECHNO
14712,HGS
14732,DLF
14742,AXSENSEX
14745,ADVANIHOTR
14747,011NSETEST
14751,021NSETEST
14753,031NSETEST
14755,041NSETEST
14758,051NSETEST
1476,IDBI
14761,NELCAST
14762,061NSETEST
14764,071NSETEST
14766,V2RETAIL
14767,081NSETEST
14769,091NSETEST
14772,101NSETEST
14774,111NSETEST
14777,121NSETEST
14778,131NSETEST
14781,141NSETEST
14782,151NSETEST
14784,161NSETEST
14786,LOWVOL
14788,SPARC
14813,ADSL
14828,WSI
14838,DECCANCE
14848,ALPA
1485,IFBIND
14853,OMAXE
14858,GOLD1
14889,ASIANTILES
14890,AKI
14894,CENTRALBK
14900,SAHYADRI
14908,KDDL
1491,IFCI
14912,KPRMILL
14922,PURVA
14924,LAL
14937,CIEINDIA
14938,GSEC10YEAR
1494,RBA
14947,MOTILALOFS
14966,CSBBANK
1497,SHIVAMILLS
14972,KSCL
14977,POWERGRID
14982,CENTUM
14992,CCCL
15002,SUPREMEINF
15017,MAANALU
15032,PSUBNKBEES
15034,BAJAJELEC
15039,CERA
15044,DELTACORP
15049,ENERGYDEV
15058,AVALON
15061,PSUBANK
15067,BLAL
15068,RELIGARE
1507,MOGSEC
15073,BVCL
1508,ASTERDM
15083,ADANIPORTS
15085,SILVERBETA
15119,EDELWEISS
1512,INDHOTEL
15121,SVLL
15124,KOLTEPATIL
15129,RGL
15136,KAUSHALYA
15141,COLPAL
